Fecha_Pub_DOF,Precio promedio
2019-02-18,50.75
2019-03-22,48.0
2019-04-23,50.0
2019-05-23,52.25
2019-06-21,61.25
2019-07-22,92.5
2019-08-19,95.0
2019-09-20,75.0
2019-10-21,78.75
2019-11-28,70.0
2019-12-20,46.25
2020-01-21,45.0
2020-02-21,44.0
2020-03-23,43.75
2020-04-20,49.0
2020-05-18,58.5
2020-06-22,66.0
2020-07-20,67.25
2020-08-21,68.75
2020-09-29,56.5
2020-10-23,58.75
2020-11-24,52.5
2020-12-18,51.25
2021-01-22,57.5
2021-02-22,46.25
2021-03-19,35.75
2021-04-27,46.0
2021-05-21,55.0
2021-06-21,58.75
2021-07-19,61.25
2021-08-26,72.0
2021-09-23,72.0
2021-10-22,67.5
2021-11-26,60.0
2021-12-20,60.0
2022-01-24,52.75
2022-02-22,62.5
2022-03-22,67.5
2022-04-22,83.75
2022-05-23,101.25
2022-06-17,118.75
2022-07-22,95.0
2022-08-29,96.25
2022-09-29,82.5
2022-10-21,68.75
2022-11-23,60.0
2022-12-20,52.5
2023-01-24,55.0
2023-02-21,52.75
2023-03-23,55.0
2023-04-24,58.75
2023-05-22,63.75
2023-06-22,65.0
2023-07-24,74.25
2023-08-21,94.5
2023-09-20,81.25
2023-10-23,73.75
2023-11-23,68.0
2023-12-18,50.0
2023-12-22,57.5
2024-02-22,50.0
